Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02641,,,,,,,,,,99.13841,,,,,,,,99.5
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,30.06635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99005,,,,,,,65.42055
Angola,AGO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.19449,,,,,,,,,,,,,77.43113,,,,
Albania,ALB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43515,,,,,,,98.83121,,,98.79119,99.2314,,,,,,99.33
Andorra,AND,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,63.12576,63.61633,64.24632,64.98274,65.66944,66.42366,67.58013,68.74322,70.08423,70.98001,72.08223,73.10424,74.18919,75.61772,76.52587,76.23064,77.04914,77.8912,78.92959,79.72456,80.40565,81.14053,81.71222,82.6899,83.70282,84.62929,85.3179,85.78052,84.36662,85.13769,85.81641,83.18158,83.60195,84.02709,85.11303,85.82474,86.08416,86.27419,84.96331,85.34282,85.5976
United Arab Emirates,ARE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,63.04761,,,,,,,,,,82.47264,,,,,,,,,,,,,,,,,,,,95.00645,,,,,,,,,,99.43,,,
Argentina,ARG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,96.88254,,,,,,,,,,,98.30464,,,,,,,,,,98.91666,,,,,99.44608,,,99.58429,99.29864,99.62824,99.37587,99.55132,99.29671,99.5597,99.50271,,99.50552
Armenia,ARM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90996,,,,,,,,,,,,99.80728,,,,,,,,,,99.8474,,,,,,99.84702,
American Samoa,ASM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,97.65421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8861,,,,,,,,100,,99.9513,99.9506,99.9441,99.93675,99.95247,99.95699,99.94278,99.94048,99.93805,
Burundi,BDI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,30.97659,,,,,,,,,,,53.55521,,,,,,,,,,73.33006,,,,,,,,61.73879,,,,,,79.55961,,,88.22177,
Belgium,BEL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,29.78674,,,,,,,,,,,,,39.87661,,,,,,,,,,45.30962,,,,42.3627,,,,,,52.49247,,,,,,60.94808
Burkina Faso,BFA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,14.37752,,,,,,,,,,,,,,,,20.18029,,,,,19.41415,,,,,,,31.22926,,32.96662,32.7306,39.25778,,,,,,,50.0963,,,,58.29
Bangladesh,BGD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,35.65325,,,,,,,,,,44.68083,,,,,,,,,,63.62273,,,,,,61.87281,,,,77.98499,77.83291,85.52715,85.55473,87.88877,92.24265,92.95076,93.29644
Bulgaria,BGR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.21248,,,,,,,,,,97.86505,,,,,,,
Bahrain,BHR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,86.29309,,,,,,,,,,96.93811,,,,,,,,,,97.02471,,,,,,,,,95.45447,,,,,,99.48031,99.59822,99.6872
"Bahamas, The",BHS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.01996,,,,,,,,,99.79393,,,,,,,,,,,99.46231,,99.66243,,,,,
Belarus,BLR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.76628,,,,,,,,,,99.79184,,,,,,,,,,99.82321,,,,,,,,,99.85
Belize,BLZ,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.64147,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,83.55198,,,,,,,,,,,,,,,,93.89611,,,,,,,,,97.32378,,,,,,99.44136,99.1225,99.38397,,99.00752,98.99588,,,99.39917,,,
Brazil,BRA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,83.91427,,,,,,,,,,,,,,,,,,,,94.18411,,,,96.84386,,97.5823,97.80063,97.84363,98.06554,97.51412,98.48692,98.61966,98.73668,98.84569,98.96375,99.11096,99.15541,99.20417
Barbados,BRB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,99.75519,,,,,,,,,,,,,,99.9,,,,,,,,,,99.9,,,,,,,,,,99.9,,,,,,,,,,99.9,,,,
Brunei Darussalam,BRN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,93.68101,,,,,,,,,,98.09567,,,,,,,,,,98.89379,,,,,,,,,,99.36677,,,,,,,99.70894
Bhutan,BTN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.40521,,,,,,,87.31836,,,,,93.09063,
Botswana,BWA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2583,,,,,,,,,,,,93.95744,,,,,,,,,,97.45629,,,,,
Central African Republic,CAF,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,37.03696,,,,,,,,,,,,,48.20233,,,,,,,,,,,,60.80705,,,,,,,,,,36.35627,,,,,,,,38.26865
Canada,CAN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,99.4829,99.4802,99.47637,99.48113,99.47633,99.4716,99.46859,99.46012,99.45541,99.45121,99.44652,99.44213,99.43702,99.43261,99.42855,99.42604,99.42009,99.41803,99.20057,99.1806,99.16722,99.15475,99.13262,99.11068,99.09328,99.07729,99.06562,99.07432,99.36493,99.38426,99.40358,99.41957,99.44001,99.45876,99.47612,99.49511,,
Switzerland,CHE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,96.65398,,,,,,,,,,98.42797,,,,,,,,,,98.99098,,,,,,99.15358,98.87238,,99.40819,,99.04828,,99.35394,,99.00866,
China,CHN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,88.77334,,,,,,,,94.28147,,,,,,,,,,98.85873,,,,,,,,,,99.64229,,,,,,,,99.7836
Cote d'Ivoire,CIV,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.50848,,,,,,,,,,47.05871,,60.72365,,,,,,,,,,,,48.30996,,53.02069,,,,58.42015
Cameroon,CMR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,68.81703,,,,,,,,,,,,,,,,,,,,,,,,83.09829,,,,,,,83.13557,,,80.57444,,,,,,,,85.08
"Congo, Dem. Rep.",COD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.41626,,,,,,65.77653,,,,,83.59755,,,,84.98951,,
"Congo, Rep.",COG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.91395,,,,,,,82.05479
Colombia,COL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.48465,,,96.995,,,,,,,,97.99131,97.9584,97.88317,97.96863,97.98927,97.93743,98.09842,98.23938,,,98.54095,98.53473,98.66831,,98.85165
Comoros,COM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,61.71302,,,,,,,,,,,,,,,,,,,,80.18576,,,,,,,,,,,,71.58127,,,,,,78.27039
Cabo Verde,CPV,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1679,,,,,,,,,,95.87,,,,,,,,,,,,98.12897,,,98.11131,,,
Costa Rica,CRI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,97.14819,,,,,,,,,,,,,,,,97.6147,,,,,,,,,,,99.1337,,,,,,,99.43
Caribbean small states,CSS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.41383,92.45566,92.69023,92.92604,93.17413,93.43594,93.717,93.9525,94.19583,94.41388,94.60074,94.75638,94.92502,94.96288,95.40795,95.50792,95.59849,95.59716,95.69673,95.71144,96.14059,96.25997,96.21611,,,
Cuba,CUB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,99.56857,,,,,,,,,,,,,,,,,,,,,99.9556,,,,,,,,,,99.87465,,,,,,
Curacao,CUW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.90682,,,,,,,,,,,
Cyprus,CYP,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.62139,,,,,,,,,99.77493,,,,,,,,,,99.82099,,,,,,,
Czech Republic,CZE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,82.6242,,,,,,,,,,,,,,,,,,,,,94.21757,,,,,95.78686,,,96.80575,97.04205,97.02389,97.47243,97.68853,97.61406,98.83941,,
Algeria,DZA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.32727,,,,,,,,,,,,,,,90.13721,,,,91.77964,,93.76733,,,,,,,,,,97.42652
East Asia & Pacific (excluding high income),EAP,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,83.42607,83.56224,84.78386,85.99041,87.13416,88.14474,89.13545,89.69874,90.38405,90.99746,91.51358,92.73107,94.02975,94.1815,94.31905,94.31002,94.28685,94.23619,94.28595,94.33568,94.52654,96.72584,96.79044,96.8613,97.86554,97.0027,97.10868,97.26983,98.23329,98.31026,98.25284,98.51706,98.8921,98.85714,98.84143,98.42472,98.4567,98.48129,98.67295,98.72303,98.74075,98.77351,98.79981
Early-demographic dividend,EAR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,61.02592,61.23637,61.92646,62.57606,63.19577,63.68767,64.09404,64.70151,65.25223,65.90769,66.47641,67.07503,68.27344,68.87366,69.82459,70.87249,71.67904,72.80335,73.63604,74.51092,75.42561,76.19438,76.84317,78.88536,79.64755,80.31706,80.92677,81.87831,82.69289,83.54207,84.00115,84.49825,85.09265,86.69735,87.31561,87.49763,87.72479,88.37109,89.2016,89.86197,90.50441,91.00432,91.32992,91.68122
East Asia & Pacific,EAS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,84.25937,84.39747,85.51498,86.61252,87.64612,88.56376,89.46253,89.97399,90.6,91.1632,91.6336,92.78718,93.99617,94.13824,94.26864,94.2488,94.21951,94.16355,94.215,94.26664,94.45958,96.48487,96.54883,96.64833,97.67374,96.79795,96.90927,97.08513,98.07663,98.15937,98.1199,98.37812,98.74392,98.71074,98.66465,98.25042,98.28715,98.31566,98.54467,98.59638,98.6174,98.65223,98.68101
Europe & Central Asia (excluding high income),ECA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,97.71542,98.27655,98.29577,98.29503,98.31855,98.34936,98.34645,98.3884,98.40119,98.43904,98.47963,98.5192,98.55757,98.60081,98.6349,98.69922,98.67627,98.80856,98.84241,98.86931,98.87043,98.834,98.95832,98.95966,98.98985,99.03539,99.34167,99.42214,99.51452,99.56386,99.61052,99.6372,99.66466,99.72012,99.72408,99.74303
Europe & Central Asia,ECS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.96559,98.9795,98.86194,98.88487,98.90718,98.92885,98.9528,98.97578,99.00172,98.99447,99.06967,99.09245,99.11744,99.12414,99.11755,99.20149,99.1758,99.2295,99.2248,99.4197,99.47449,99.50534,99.53741,99.56906,99.59408,99.60965,99.64151,99.65887,99.67093
Ecuador,ECU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,93.40146,,,,,,,,96.19471,,,,,,,,,,,96.43721,,,,,,98.39142,98.45375,98.80065,98.65271,98.69484,98.83163,98.60464,99.09777,99.1262,99.05711,99.25505,
"Egypt, Arab Rep.",EGY,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,51.03116,,,,,,,,,,63.32762,,,,,,,,,,73.21869,,,,,,,,,84.85342,84.87827,,,,87.50964,,89.28192,92.02342,,,,88.19256,
Euro area,EMU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.94529,,,,,,86.97491,,,,,,,,,,93.27239
Spain,ESP,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,98.64195,,,,,,,,,,99.55456,,,,,,,,,,,,,99.5582,99.53779,,99.56934,99.56431,99.599,99.59463,99.6994,99.67278,99.66926,99.72276,99.65568,99.62216,,99.71555
Estonia,EST,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.86789,,,,,,,,,,,99.7705,,,,,,,,,,,99.9489,,,,,,,
Ethiopia,ETH,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5854,,,,,,,,,,49.9,44.60597,,54.98298,,,,,,,,,,72.75482,
European Union,EUU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,68.46809,69.27581,69.69613,70.17692,70.60983,70.2702,69.83402,69.98247,70.83522,70.81281,71.11997,71.56781,72.16689,72.39275,72.88013,73.04148,73.81262,73.56477,73.71341,73.5919,71.98974,72.005,71.74199,69.49227,69.87558,71.19566,71.32621,71.68883,72.00898,72.57644,72.81978,73.51974,73.92391
Finland,FIN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.25715,,,,,,,,,,,,,,,,,,,,,99.74434,
France,FRA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.20872,,,,,,,,,,,,,,,,,,,88.50414,,,,,,89.78366
United Kingdom,GBR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82542,,,,,,,,,,,,99.70261,,,99.64081,
Ghana,GHA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.66306,,,,,,,,,,85.71615,,,,,,,,92.49097
Gibraltar,GIB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.71639,,,,,,,47.09126,,,,,,,31.40642,,,,46.29505,,,,
"Gambia, The",GMB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.55502,,,,,,,,,,,,,60.7779,,67.16138,,,
Guinea-Bissau,GNB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,36.40142,,,,,,,,,,,,,,,,,,,,,59.49285,,,,,,,,,,,,,,60.40235,,,,
Equatorial Guinea,GNQ,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.13137,,,,,,,,,,97.96704,,,,,,,,
Greece,GRC,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,98.96705,,,,,,,,,,98.98399,,,,,,,,,,98.94053,,,,99.52918,,99.56192,,99.49109,,98.81486,,,,,,,99.16
Grenada,GRD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,98.96236,,,,,,,,,,,,,,99.2,,,,,,,,,,99.2,,,,,,,,,,99.2,,,,,,,,,,99.2,,,,
Greenland,GRL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98821,,,,,,,,82.22026,,,,,,,,,,93.65347,91.85192,94.35425,,,,
Guam,GUM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,95.61106,,,,,,,,,,99.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.09894,,,,,96.68967,,,,
High income,HIC,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
